Feature,Importance
CUSTOMER_AVG_SPEND,0.9779620723612079
CUSTOMER_PURCHASE_HISTORY,0.008136599776318457
DAYS_SINCE_LAST_PURCHASE,0.007984205702095555
region_encoded,0.001688275826272186
DAY_OF_WEEK,0.0016362500273783933
payment_encoded,0.0010268204393284873
MONTH,0.0010110007810628823
is_high_season,0.0004857511969805604
promo_x_history,2.996813963683678e-05
discount_x_avg_spend,1.3174651155946577e-05
HAS_PROMOTION,1.2129073218589632e-05
DISCOUNT_PERCENTAGE,1.0764318607358618e-05
is_weekend,2.987706736928167e-06
